Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	Name	Tone Mode	CTCSS	DCS	Tx Power	Skip	Step	Mask	Clock Shift	Half Dev	Bank 1	Bank 2	Bank 3	Bank 4	Bank 5	Bank 6	Bank 7	Bank 8	Bank 9	Comment	Icon	
126	145.36000	145.36000	 	Simplex	FM		None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
127	145.38000	145.38000	 	Simplex	FM		Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
128	145.44000	145.44000	 	Simplex	FM	N6USO	Tone	136.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
129	145.48000	145.48000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
130	146.02500	146.02500	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
131	146.08500	146.08500	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
132	146.26500	146.26500	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
133	146.35500	146.35500	 	Simplex	FM		Tone	203.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
134	146.64000	146.64000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
135	146.67000	146.67000	 	Simplex	FM		Tone	103.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
136	146.70000	146.70000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
137	146.73000	146.73000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
138	146.88000	146.88000	 	Simplex	FM		Tone	162.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
139	146.91000	146.91000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
140	146.89500	146.89500	 	Simplex	FM		Tone	118.8 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
141	146.92500	146.92500	 	Simplex	FM		Tone	114.8 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
142	146.92500	146.92500	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
143	146.94000	146.94000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
144	147.00000	147.00000	 	Simplex	FM		Tone	203.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
145	147.03000	147.03000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
